subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,cancellation_reason
S000083,C009495,1,2023-04-09,,Active,
S000084,C033208,1,2025-06-01,,Active,
S000085,C036517,3,2023-11-27,,Active,
S000086,C023602,1,2023-11-15,,Active,
S000087,C049808,3,2025-07-10,2027-02-10,Cancelled,Technical Issues
S000088,C025264,3,2025-04-24,2025-06-24,Cancelled,Too Expensive
S000089,C015080,1,2023-05-10,2024-07-10,Cancelled,Technical Issues
S000090,C044922,1,2024-06-21,,Active,
S000091,C020534,2,2024-10-14,,Active,
S000092,C043838,3,2023-11-27,,Active,
S000093,C025872,1,2024-11-19,,Active,
S000094,C023880,2,2024-02-17,2025-02-17,Cancelled,Too Expensive
S000095,C040088,3,2025-02-08,,Active,
S000096,C027974,1,2023-09-06,2025-01-06,Cancelled,Switched to Competitor
S000097,C021114,1,2023-08-11,,Active,
S000098,C034129,1,2025-07-20,,Active,
S000099,C039432,2,2023-11-28,2024-09-28,Cancelled,Technical Issues
S000100,C028025,1,2024-10-04,,Active,
S000101,C033839,2,2025-07-16,,Active,
S000102,C025535,3,2024-04-27,2024-07-27,Cancelled,Too Expensive
S000103,C027960,2,2024-12-07,,Active,
S000104,C037967,1,2024-02-01,2026-01-01,Cancelled,Not Enough Content
S000105,C047224,1,2024-09-09,,Active,
S000106,C033186,2,2024-01-08,,Active,
S000107,C035096,1,2023-01-28,2024-03-28,Cancelled,Switched to Competitor
S000108,C005522,2,2023-04-11,2024-11-11,Cancelled,Not Enough Content
S000109,C028157,2,2024-10-15,,Active,
S000110,C018128,1,2023-05-21,,Active,
S000111,C027938,3,2024-06-13,2025-12-13,Cancelled,Switched to Competitor
S000112,C006270,1,2023-03-20,,Active,
S000113,C038854,1,2024-09-30,2025-06-30,Cancelled,Switched to Competitor
S000114,C020932,2,2024-02-05,,Active,
S000115,C022958,1,2023-10-24,2025-07-24,Cancelled,Too Expensive
S000116,C016975,2,2024-02-19,2024-10-19,Cancelled,Too Expensive
S000117,C038627,3,2023-04-19,,Active,
S000118,C000915,2,2025-11-08,2027-01-08,Cancelled,Too Expensive
S000119,C000307,2,2025-10-06,,Active,
S000120,C020089,2,2023-12-18,2025-01-18,Cancelled,Low Engagement
S000121,C036744,1,2024-04-04,,Active,
S000122,C021619,2,2024-07-22,,Active,
S000123,C018364,1,2024-03-27,2026-02-27,Cancelled,Technical Issues
S000124,C021508,2,2024-05-22,,Active,
S000125,C032444,2,2025-12-13,,Active,
S000126,C027169,2,2023-04-04,2023-12-04,Cancelled,Not Enough Content
S000127,C020676,1,2025-07-30,,Active,
S000128,C032761,2,2025-07-01,2027-05-01,Cancelled,Switched to Competitor
S000129,C010367,2,2024-03-27,,Active,
S000130,C042199,1,2025-07-02,2026-03-02,Cancelled,Not Enough Content
S000131,C037527,1,2024-09-22,,Active,
S000132,C035179,2,2025-01-21,,Active,
S000133,C037183,2,2025-11-30,,Active,
S000134,C028939,2,2025-06-13,2026-10-13,Cancelled,Too Expensive
S000135,C049740,1,2024-12-23,,Active,
S000136,C005725,3,2024-01-27,,Active,
S000137,C022255,1,2024-07-23,2026-07-23,Cancelled,Low Engagement
S000138,C013423,2,2024-03-16,2025-03-16,Cancelled,Switched to Competitor
S000139,C019711,2,2024-04-14,2025-06-14,Cancelled,Too Expensive
S000140,C003296,2,2024-08-12,2024-11-12,Cancelled,Low Engagement
S000141,C019710,2,2024-05-18,,Active,
S000142,C009967,2,2025-04-22,2026-09-22,Cancelled,Low Engagement
S000143,C001042,1,2024-04-29,,Active,
S000144,C026704,2,2024-10-01,2025-07-01,Cancelled,Switched to Competitor
S000145,C018504,2,2025-12-17,,Active,
S000146,C020436,1,2024-11-06,,Active,
S000147,C004809,2,2024-06-15,,Active,
S000148,C008914,1,2023-10-08,,Active,
S000149,C046412,3,2025-02-16,,Active,
S000150,C007789,2,2024-05-09,,Active,
S000151,C014105,2,2025-11-10,2026-11-10,Cancelled,Switched to Competitor
S000152,C019381,2,2023-10-15,2024-06-15,Cancelled,Switched to Competitor
S000153,C009185,2,2024-11-11,,Active,
S000154,C045202,1,2024-12-19,,Active,
S000155,C034626,3,2023-05-15,,Active,
S000156,C030376,3,2025-03-16,,Active,
S000157,C033638,2,2024-03-06,2025-02-06,Cancelled,Low Engagement
S000158,C026264,3,2025-06-25,2026-10-25,Cancelled,Too Expensive
S000159,C030515,1,2025-01-01,2026-04-01,Cancelled,Switched to Competitor
S000160,C027923,2,2024-06-27,,Active,
S000161,C002085,3,2023-07-05,,Active,
S000162,C010255,3,2023-10-10,2025-02-10,Cancelled,Not Enough Content
S000163,C046041,1,2025-10-08,,Active,
S000164,C030906,1,2023-07-28,,Active,
S000165,C016483,2,2025-04-05,,Active,
S000166,C038156,1,2025-02-20,,Active,
S000167,C010675,1,2025-03-16,,Active,
S000168,C015031,3,2023-03-13,,Active,
S000169,C046286,2,2024-07-23,2026-06-23,Cancelled,Technical Issues
S000170,C042439,2,2025-06-03,,Active,
S000171,C023141,3,2025-07-10,,Active,
S000172,C041917,1,2025-11-02,,Active,
S000173,C032860,1,2023-05-04,2024-09-04,Cancelled,Low Engagement
S000174,C022558,1,2025-01-25,,Active,
S000175,C047925,1,2023-04-19,2024-09-19,Cancelled,Too Expensive
S000176,C022499,1,2025-08-05,2026-08-05,Cancelled,Low Engagement
S000177,C027288,2,2023-02-11,,Active,
S000178,C042959,1,2023-03-18,,Active,
S000179,C043866,1,2025-10-05,,Active,
S000180,C020526,1,2025-02-11,,Active,
S000181,C040356,2,2024-10-22,,Active,
S000182,C040051,3,2023-06-04,2025-01-04,Cancelled,Low Engagement
S000183,C007820,1,2023-07-21,2023-12-21,Cancelled,Technical Issues
S000184,C038137,2,2023-09-02,,Active,
S000185,C035104,1,2024-12-10,,Active,
S000186,C025696,2,2025-11-03,,Active,
S000187,C029840,2,2023-07-31,,Active,
S000188,C041857,2,2025-06-03,,Active,
S000189,C040574,1,2023-05-08,,Active,
S000190,C029164,2,2024-11-06,2026-10-06,Cancelled,Too Expensive
S000191,C015024,3,2025-01-31,,Active,
S000192,C026388,2,2023-05-08,,Active,
S000193,C011829,1,2024-05-17,2026-01-17,Cancelled,Not Enough Content
S000194,C031799,1,2024-12-04,,Active,
S000195,C039617,3,2024-01-07,,Active,
S000196,C028588,2,2023-07-14,,Active,
S000197,C047682,1,2024-06-12,,Active,
S000198,C025742,2,2023-05-30,,Active,
S000199,C046587,1,2025-09-08,,Active,
S000200,C010712,1,2024-03-18,,Active,
S000201,C006686,2,2025-10-29,,Active,
S000202,C001205,2,2023-08-19,,Active,
S000203,C010565,1,2024-04-23,,Active,
S000204,C035853,1,2025-03-04,,Active,
S000205,C015378,1,2024-04-28,2025-01-28,Cancelled,Switched to Competitor
S000206,C039035,1,2025-04-23,,Active,
S000207,C006340,3,2025-08-22,,Active,
S000208,C018065,1,2024-04-29,,Active,
S000209,C047141,1,2023-09-01,2024-08-01,Cancelled,Too Expensive
S000210,C028517,3,2024-07-22,,Active,
S000211,C021503,2,2024-06-19,2025-11-19,Cancelled,Not Enough Content
S000212,C033927,3,2023-06-26,,Active,
S000213,C011774,3,2025-05-30,,Active,
S000214,C038540,3,2023-11-18,,Active,
S000215,C004539,1,2024-12-30,2025-08-30,Cancelled,Switched to Competitor
S000216,C037414,1,2025-03-23,,Active,
S000217,C015904,3,2025-12-06,2027-02-06,Cancelled,Too Expensive
S000218,C002117,2,2023-02-24,,Active,
S000219,C049206,1,2025-11-20,2026-02-20,Cancelled,Not Enough Content
S000220,C046122,3,2024-06-15,,Active,
S000221,C035067,1,2025-01-08,,Active,
S000222,C041117,1,2023-10-09,,Active,
S000223,C047640,2,2023-09-25,2025-03-25,Cancelled,Not Enough Content
S000224,C021452,1,2023-08-19,,Active,
S000225,C004131,3,2024-07-25,,Active,
S000226,C013070,1,2025-11-09,,Active,
S000227,C010947,3,2024-06-13,2026-04-13,Cancelled,Not Enough Content
S000228,C032088,2,2023-04-11,,Active,
S000229,C005158,1,2023-04-18,,Active,
S000230,C020730,1,2023-12-08,,Active,
S000231,C007654,2,2025-12-06,,Active,
S000232,C049896,2,2025-09-18,,Active,
S000233,C042866,2,2024-10-26,,Active,
S000234,C048421,1,2023-12-13,,Active,
S000235,C008609,2,2025-10-18,2027-03-18,Cancelled,Technical Issues
S000236,C043407,2,2024-06-16,,Active,
S000237,C042828,2,2024-04-28,,Active,
S000238,C034450,3,2023-11-11,,Active,
S000239,C035006,2,2025-05-09,,Active,
S000240,C010310,1,2025-02-11,,Active,
S000241,C040504,1,2023-06-24,,Active,
S000242,C012113,1,2025-07-17,,Active,
S000243,C010935,1,2025-11-27,,Active,
S000244,C037754,2,2024-12-19,,Active,
S000245,C027652,1,2023-03-31,,Active,
S000246,C000109,3,2025-03-05,2027-02-05,Cancelled,Technical Issues
S000247,C010216,2,2025-03-19,,Active,
S000248,C027638,1,2025-09-20,,Active,
S000249,C041431,1,2024-12-29,,Active,
S000250,C015360,1,2023-10-13,,Active,
S000251,C049868,1,2025-07-21,,Active,
S000252,C017621,1,2023-11-23,,Active,
S000253,C004356,2,2025-12-01,2026-07-01,Cancelled,Low Engagement
S000254,C013907,2,2025-08-26,,Active,
S000255,C000244,1,2024-04-22,,Active,
S000256,C040702,2,2023-08-25,,Active,
S000257,C047186,2,2025-02-14,2026-05-14,Cancelled,Low Engagement
S000258,C006827,2,2024-11-28,2025-09-28,Cancelled,Too Expensive
S000259,C038824,2,2025-10-27,2026-08-27,Cancelled,Low Engagement
S000260,C022880,3,2025-03-03,,Active,
S000261,C034365,1,2024-08-20,,Active,
S000262,C046906,1,2024-01-02,2025-07-02,Cancelled,Technical Issues
S000263,C032652,2,2024-01-30,,Active,
S000264,C012527,1,2025-08-05,,Active,
S000265,C036904,2,2024-02-09,,Active,
S000266,C039957,3,2023-06-16,,Active,
S000267,C014830,1,2023-08-11,2025-03-11,Cancelled,Too Expensive
S000268,C014171,1,2025-05-12,2025-11-12,Cancelled,Low Engagement
S000269,C005019,1,2026-01-03,,Active,
S000270,C032846,2,2023-04-16,2023-11-16,Cancelled,Technical Issues
S000271,C001315,2,2025-09-11,,Active,
S000272,C014524,3,2023-12-05,,Active,
S000273,C024790,1,2025-08-21,2027-04-21,Cancelled,Switched to Competitor
S000274,C044065,1,2025-11-11,2026-12-11,Cancelled,Low Engagement
S000275,C049481,2,2025-07-12,2025-09-12,Cancelled,Low Engagement
S000276,C019185,1,2023-06-04,,Active,
S000277,C014686,1,2024-04-17,,Active,
S000278,C034433,1,2024-03-17,,Active,
S000279,C024707,3,2025-10-01,,Active,
S000280,C047002,1,2024-01-19,,Active,
S000281,C004629,2,2023-06-25,,Active,
S000282,C038421,3,2023-02-27,2023-12-27,Cancelled,Low Engagement
S000283,C044755,3,2024-10-25,,Active,
S000284,C046694,1,2023-02-16,,Active,
S000285,C007911,2,2025-06-13,,Active,
S000286,C045296,3,2023-03-10,2023-08-10,Cancelled,Not Enough Content
S000287,C034719,2,2023-07-16,2024-04-16,Cancelled,Low Engagement
S000288,C028629,2,2025-12-25,2026-09-25,Cancelled,Technical Issues
S000289,C036966,2,2024-10-14,,Active,
S000290,C005473,2,2025-09-20,,Active,
S000291,C043226,1,2025-12-12,,Active,
S000292,C048687,1,2025-05-29,2026-04-29,Cancelled,Low Engagement
S000293,C018220,1,2024-08-13,,Active,
S000294,C049078,2,2023-11-22,,Active,
S000295,C036373,2,2023-11-17,,Active,
S000296,C010021,3,2023-05-19,,Active,
S000297,C004778,1,2025-07-19,,Active,
S000298,C043720,2,2025-08-27,2025-09-27,Cancelled,Too Expensive
S000299,C038510,1,2024-12-19,,Active,
S000300,C026465,2,2024-08-30,,Active,
S000301,C014900,1,2023-02-04,,Active,
S000302,C001251,3,2024-08-15,,Active,
S000303,C044234,1,2023-09-19,,Active,
S000304,C009039,1,2025-08-14,2026-02-14,Cancelled,Technical Issues
S000305,C047043,3,2023-07-09,2024-07-09,Cancelled,Not Enough Content
S000306,C013944,2,2024-08-08,,Active,
S000307,C011577,2,2023-08-21,,Active,
S000308,C029928,3,2024-10-30,2025-11-30,Cancelled,Switched to Competitor
S000309,C027173,2,2024-08-30,2025-12-30,Cancelled,Switched to Competitor
S000310,C012735,2,2025-11-11,,Active,
S000311,C031785,3,2025-07-11,,Active,
S000312,C035184,2,2024-02-10,,Active,
S000313,C040386,2,2023-09-18,2025-06-18,Cancelled,Not Enough Content
S000314,C043029,1,2023-03-14,,Active,
S000315,C049921,2,2023-10-12,,Active,
S000316,C030808,1,2023-06-20,,Active,
S000317,C045533,1,2024-03-18,,Active,
S000318,C032655,2,2025-10-18,,Active,
S000319,C015939,2,2024-07-24,,Active,
S000320,C029303,3,2024-11-06,2025-01-06,Cancelled,Not Enough Content
S000321,C023376,1,2025-05-29,2025-10-29,Cancelled,Switched to Competitor
S000322,C028133,2,2025-03-25,,Active,
S000323,C026424,2,2024-06-30,,Active,
S000324,C041522,1,2023-10-15,,Active,
S000325,C042682,2,2025-09-24,2026-01-24,Cancelled,Not Enough Content
S000326,C003448,3,2025-11-02,,Active,
S000327,C045039,1,2023-12-22,,Active,
S000328,C006270,2,2023-03-27,,Active,
S000329,C012357,1,2023-03-25,2024-07-25,Cancelled,Not Enough Content
S000330,C041460,2,2024-08-09,2026-01-09,Cancelled,Switched to Competitor
S000331,C000741,2,2023-05-23,2023-11-23,Cancelled,Technical Issues
S000332,C012016,3,2024-06-11,,Active,
S000333,C014019,2,2025-11-09,,Active,
S000334,C030009,3,2023-05-09,2025-01-09,Cancelled,Too Expensive
S000335,C023658,2,2023-10-01,,Active,
S000336,C040381,1,2024-03-26,,Active,
S000337,C013233,3,2025-01-14,,Active,
S000338,C000847,2,2025-10-01,,Active,
S000339,C029110,1,2025-03-25,2026-02-25,Cancelled,Switched to Competitor
S000340,C023583,2,2024-03-01,2025-10-01,Cancelled,Switched to Competitor
S000341,C017874,3,2023-05-29,2024-11-29,Cancelled,Too Expensive
S000342,C030139,2,2024-11-29,,Active,
S000343,C017489,2,2023-08-13,,Active,
S000344,C029844,1,2023-07-06,,Active,
S000345,C043209,1,2025-11-04,2027-05-04,Cancelled,Not Enough Content
S000346,C038956,2,2023-01-14,2023-04-14,Cancelled,Low Engagement
S000347,C005289,1,2024-08-09,2025-09-09,Cancelled,Switched to Competitor
S000348,C034713,1,2024-12-06,2025-04-06,Cancelled,Too Expensive
S000349,C020112,2,2024-11-08,,Active,
S000350,C038843,2,2025-12-20,,Active,
S000351,C021053,3,2024-01-04,2026-01-04,Cancelled,Low Engagement
S000352,C010821,3,2024-04-08,,Active,
S000353,C040332,3,2025-02-13,,Active,
S000354,C045666,1,2025-06-19,,Active,
S000355,C038180,1,2025-08-05,,Active,
S000356,C023290,1,2023-01-10,2023-02-10,Cancelled,Low Engagement
S000357,C047620,1,2025-05-14,,Active,
S000358,C013507,2,2023-12-22,,Active,
S000359,C023838,1,2025-07-21,2026-03-21,Cancelled,Technical Issues
S000360,C014995,2,2025-05-08,2026-08-08,Cancelled,Switched to Competitor
S000361,C029236,2,2025-06-02,,Active,
S000362,C015496,2,2024-02-19,2026-02-19,Cancelled,Switched to Competitor
S000363,C018225,1,2023-08-31,,Active,
S000364,C020801,1,2025-11-16,,Active,
S000365,C000293,2,2024-07-31,,Active,
S000366,C033660,2,2025-12-04,,Active,
S000367,C045735,1,2024-03-07,,Active,
S000368,C040062,2,2023-04-01,2024-06-01,Cancelled,Technical Issues
S000369,C038545,1,2023-09-30,,Active,
S000370,C034901,3,2024-10-26,,Active,
S000371,C020355,2,2025-04-30,,Active,
S000372,C012474,2,2024-08-19,,Active,
S000373,C023911,1,2023-07-09,,Active,
S000374,C016245,1,2023-09-04,2024-04-04,Cancelled,Low Engagement
S000375,C025925,1,2023-07-29,,Active,
S000376,C049153,1,2026-01-01,,Active,
S000377,C033087,1,2025-11-11,,Active,
S000378,C021405,3,2024-11-17,2025-05-17,Cancelled,Low Engagement
S000379,C017480,3,2023-02-01,2024-09-01,Cancelled,Technical Issues
S000380,C027906,1,2023-06-25,2024-04-25,Cancelled,Not Enough Content
S000381,C013992,1,2023-11-18,,Active,
S000382,C046577,2,2023-12-15,,Active,
S000383,C049870,1,2025-06-19,,Active,
S000384,C048249,1,2023-10-20,,Active,
S000385,C036558,3,2023-08-18,,Active,
S000386,C046584,2,2023-09-10,,Active,
S000387,C025455,2,2023-02-28,2023-03-28,Cancelled,Low Engagement
S000388,C017454,2,2025-10-25,2026-06-25,Cancelled,Not Enough Content
S000389,C016996,2,2025-05-23,,Active,
S000390,C002809,2,2023-11-29,,Active,
S000391,C023515,2,2024-07-27,,Active,
S000392,C027660,1,2024-06-18,2025-11-18,Cancelled,Technical Issues
S000393,C047254,1,2023-06-26,,Active,
S000394,C047011,2,2024-07-28,,Active,
S000395,C009960,2,2023-09-09,,Active,
S000396,C037686,2,2024-12-25,,Active,
S000397,C038708,2,2024-12-02,2026-12-02,Cancelled,Switched to Competitor
S000398,C031542,2,2024-11-27,,Active,
S000399,C039431,2,2024-06-02,,Active,
S000400,C029306,1,2024-05-02,2024-06-02,Cancelled,Switched to Competitor
S000401,C021483,1,2024-07-04,2025-05-04,Cancelled,Technical Issues
S000402,C025459,1,2025-04-23,,Active,
S000403,C049216,2,2023-01-18,,Active,
S000404,C042974,2,2023-07-25,2024-02-25,Cancelled,Too Expensive
S000405,C037125,2,2024-12-20,,Active,
S000406,C035900,2,2025-09-02,,Active,
S000407,C049130,2,2023-06-24,,Active,
S000408,C031410,1,2025-09-24,,Active,
S000409,C045928,3,2023-01-14,,Active,
S000410,C012168,2,2023-08-12,,Active,
S000411,C039663,2,2024-07-20,,Active,
S000412,C032555,1,2023-03-01,,Active,
S000413,C032373,2,2023-02-03,2024-06-03,Cancelled,Low Engagement
S000414,C007077,2,2024-04-18,,Active,
S000415,C035164,2,2023-09-25,2024-06-25,Cancelled,Too Expensive
S000416,C019497,2,2025-01-16,,Active,
S000417,C008045,2,2024-10-26,2025-01-26,Cancelled,Technical Issues
S000418,C014955,2,2023-04-01,2025-01-01,Cancelled,Technical Issues
S000419,C004211,3,2024-03-10,,Active,
S000420,C011714,2,2023-06-03,,Active,
S000421,C015282,2,2023-08-17,,Active,
S000422,C033633,2,2025-05-21,2025-11-21,Cancelled,Low Engagement
S000423,C008997,2,2023-05-01,,Active,
S000424,C010150,2,2023-11-27,2025-01-27,Cancelled,Not Enough Content
S000425,C010698,2,2024-12-20,,Active,
S000426,C041176,1,2023-07-21,,Active,
S000427,C010973,2,2024-09-14,2026-05-14,Cancelled,Too Expensive
S000428,C013049,3,2024-01-24,,Active,
S000429,C018806,1,2025-04-11,2026-10-11,Cancelled,Switched to Competitor
S000430,C042026,3,2024-11-28,,Active,
S000431,C000268,1,2023-06-07,,Active,
S000432,C011361,2,2024-03-12,,Active,
S000433,C043873,3,2023-01-16,,Active,
S000434,C048249,3,2023-10-20,,Active,
S000435,C002361,3,2025-05-05,,Active,
S000436,C006850,2,2023-11-14,,Active,
S000437,C022335,2,2024-10-10,,Active,
S000438,C045953,1,2023-05-02,,Active,
S000439,C012239,1,2025-11-04,2025-12-04,Cancelled,Not Enough Content
S000440,C048255,2,2025-02-22,,Active,
S000441,C035891,1,2025-02-11,,Active,
S000442,C011870,1,2024-06-15,,Active,
S000443,C014208,1,2024-05-17,2025-10-17,Cancelled,Low Engagement
S000444,C036714,1,2025-09-17,,Active,
S000445,C031654,2,2023-07-02,,Active,
S000446,C028745,2,2023-10-21,,Active,
S000447,C030335,2,2023-09-06,,Active,
S000448,C012089,2,2023-09-14,,Active,
S000449,C048069,1,2024-09-11,,Active,
S000450,C014637,1,2024-06-17,,Active,
S000451,C043684,1,2024-02-18,,Active,
S000452,C037833,2,2024-12-10,,Active,
S000453,C028355,2,2024-10-10,2026-10-10,Cancelled,Technical Issues
S000454,C041205,2,2025-03-20,2026-04-20,Cancelled,Low Engagement
S000455,C004842,2,2024-11-30,,Active,
S000456,C046488,2,2025-08-17,2026-07-17,Cancelled,Technical Issues
S000457,C005920,1,2023-05-13,2024-04-13,Cancelled,Not Enough Content
S000458,C034174,2,2025-12-23,,Active,
S000459,C010515,2,2025-03-02,2025-07-02,Cancelled,Switched to Competitor
S000460,C026844,1,2025-02-20,,Active,
S000461,C007857,2,2024-07-10,2024-08-10,Cancelled,Low Engagement
S000462,C038875,1,2024-11-29,,Active,
S000463,C031917,2,2025-06-03,2026-11-03,Cancelled,Low Engagement
S000464,C015105,2,2025-07-20,,Active,
S000465,C045490,1,2024-07-31,,Active,
S000466,C008845,1,2025-01-07,2026-03-07,Cancelled,Switched to Competitor
S000467,C013953,2,2023-07-23,,Active,
S000468,C020199,2,2025-02-17,,Active,
S000469,C007047,1,2024-12-20,2025-04-20,Cancelled,Technical Issues
S000470,C018869,2,2024-07-26,2026-03-26,Cancelled,Low Engagement
S000471,C019107,1,2025-05-31,,Active,
S000472,C031776,2,2023-04-03,,Active,
S000473,C015646,1,2025-04-13,,Active,
S000474,C027944,3,2025-11-30,,Active,
S000475,C000856,1,2025-11-21,,Active,
S000476,C022295,1,2024-10-09,,Active,
S000477,C037424,3,2025-08-06,,Active,
S000478,C024009,2,2025-05-31,2026-12-31,Cancelled,Too Expensive
S000479,C048261,2,2025-01-19,,Active,
S000480,C046296,1,2023-09-17,,Active,
S000481,C007232,1,2024-12-22,2026-03-22,Cancelled,Switched to Competitor
S000482,C039127,1,2024-02-17,,Active,
S000483,C041404,2,2024-02-24,2024-03-24,Cancelled,Switched to Competitor
S000484,C023344,1,2024-12-12,,Active,
S000485,C005750,2,2024-03-25,,Active,
S000486,C049591,1,2025-10-08,,Active,
S000487,C032956,1,2024-04-22,,Active,
S000488,C042760,2,2023-03-15,2024-07-15,Cancelled,Too Expensive
S000489,C014804,2,2023-10-06,,Active,
S000490,C003696,1,2023-10-26,2025-10-26,Cancelled,Low Engagement
S000491,C024714,3,2024-10-21,,Active,
S000492,C022058,1,2025-03-29,,Active,
S000493,C018033,2,2025-02-01,2027-02-01,Cancelled,Low Engagement
S000494,C024100,1,2023-09-27,,Active,
S000495,C022122,1,2025-01-17,,Active,
S000496,C020929,1,2024-11-26,,Active,
S000497,C037244,2,2024-12-15,,Active,
S000498,C019907,1,2025-07-21,,Active,
S000499,C031161,3,2023-05-07,,Active,
S000500,C021152,2,2025-10-01,,Active,
S000501,C041040,1,2025-09-26,,Active,
S000502,C039488,2,2023-09-13,2025-02-13,Cancelled,Switched to Competitor
S000503,C016002,3,2024-10-24,2025-05-24,Cancelled,Too Expensive
S000504,C047621,2,2025-12-18,2027-08-18,Cancelled,Low Engagement
S000505,C008055,2,2024-06-02,,Active,
S000506,C034534,1,2023-08-03,,Active,
S000507,C029057,2,2025-10-30,,Active,
S000508,C036798,2,2023-02-02,,Active,
S000509,C044511,1,2024-05-16,,Active,
S000510,C014120,3,2024-08-17,2025-03-17,Cancelled,Not Enough Content
S000511,C037201,2,2025-09-30,2027-07-30,Cancelled,Too Expensive
S000512,C046318,1,2023-07-24,,Active,
S000513,C021640,1,2025-09-30,,Active,
S000514,C031963,1,2023-09-05,,Active,
S000515,C028210,3,2024-02-09,,Active,
