customer_id,signup_date,age,gender,country,city,campaign_id,acquisition_channel
C000035,2023-06-16,42,Male,India,Mumbai,10,Organic
C000036,2024-01-23,57,Female,India,Mumbai,10,Organic
C000037,2024-08-23,53,Female,Germany,Munich,6,YouTube
C000038,2023-11-12,24,Male,France,Paris,10,Organic
C000039,2023-01-14,37,Male,Australia,Melbourne,10,Organic
C000040,2023-08-30,41,Male,Canada,Vancouver,3,Instagram
C000041,2025-02-15,45,Female,Canada,Montreal,2,Google Ads
C000042,2024-07-18,22,Female,Canada,Vancouver,10,Organic
C000043,2025-06-16,53,Female,France,Paris,5,Facebook
C000044,2023-04-02,48,Male,United Kingdom,Birmingham,9,Influencer
C000045,2025-08-13,50,Male,Japan,Osaka,3,Instagram
C000046,2024-05-23,41,Female,India,Mumbai,8,Referral
C000047,2025-02-14,27,Female,India,Ahmedabad,1,Google Ads
C000048,2023-02-04,55,Female,France,Paris,8,Referral
C000049,2023-07-25,61,Male,India,Bengaluru,4,Instagram
C000050,2025-10-22,22,Other,Germany,Hamburg,5,Facebook
C000051,2025-10-18,48,Male,United Kingdom,Birmingham,2,Google Ads
C000052,2024-07-19,26,Male,India,Bengaluru,10,Organic
C000053,2024-12-03,49,Male,United States,Los Angeles,9,Influencer
C000054,2024-02-06,58,Male,France,Marseille,5,Facebook
C000055,2024-12-30,22,Female,United States,New York,1,Google Ads
C000056,2023-06-11,44,Male,Japan,Tokyo,8,Referral
C000057,2023-07-21,45,Male,Canada,Montreal,3,Instagram
C000058,2025-09-22,60,Male,United Kingdom,London,5,Facebook
C000059,2023-09-27,29,Male,United Kingdom,Manchester,8,Referral
C000060,2025-03-26,22,Female,Canada,Toronto,5,Facebook
C000061,2024-03-31,25,Female,India,Delhi,1,Google Ads
C000062,2025-10-13,34,Male,India,Mumbai,6,YouTube
C000063,2023-10-23,25,Male,United States,San Francisco,4,Instagram
C000064,2024-12-20,51,Female,Germany,Munich,8,Referral
C000065,2023-12-04,40,Female,India,Ahmedabad,3,Instagram
C000066,2025-05-28,35,Female,Australia,Brisbane,10,Organic
C000067,2025-12-12,27,Female,Japan,Osaka,9,Influencer
C000068,2025-03-02,56,Female,Germany,Berlin,9,Influencer
C000069,2023-08-05,58,Male,India,Bengaluru,9,Influencer
C000070,2025-02-02,61,Female,Canada,Vancouver,8,Referral
C000071,2023-07-07,61,Female,India,Delhi,5,Facebook
C000072,2024-01-15,22,Female,United States,Chicago,4,Instagram
C000073,2024-05-07,60,Male,India,Mumbai,9,Influencer
C000074,2025-11-30,34,Male,United Kingdom,Birmingham,3,Instagram
C000075,2023-01-15,64,Male,India,Delhi,9,Influencer
C000076,2023-03-06,28,Female,United States,Los Angeles,4,Instagram
C000077,2024-06-04,64,Female,India,Delhi,1,Google Ads
C000078,2024-10-09,65,Male,Germany,Munich,8,Referral
C000079,2025-12-22,36,Female,United States,San Francisco,6,YouTube
C000080,2024-08-15,38,Female,India,Bengaluru,1,Google Ads
C000081,2024-01-27,61,Male,Japan,Kyoto,1,Google Ads
C000082,2024-02-23,20,Male,France,Marseille,9,Influencer
C000083,2023-10-16,57,Female,United States,Los Angeles,7,Email
C000084,2024-01-14,60,Female,United Kingdom,Birmingham,8,Referral
C000085,2023-08-19,18,Female,United States,Chicago,6,YouTube
C000086,2025-10-14,41,Female,United States,New York,5,Facebook
C000087,2023-02-10,53,Male,Germany,Berlin,4,Instagram
C000088,2025-11-17,23,Male,Germany,Berlin,6,YouTube
C000089,2023-05-15,27,Male,India,Bengaluru,6,YouTube
C000090,2023-07-20,64,Male,United States,San Francisco,3,Instagram
C000091,2025-02-18,57,Female,United States,Chicago,1,Google Ads
C000092,2025-07-18,63,Male,India,Mumbai,8,Referral
C000093,2025-11-22,51,Male,France,Paris,2,Google Ads
C000094,2025-12-07,41,Male,United States,Chicago,8,Referral
C000095,2024-05-17,40,Female,India,Delhi,7,Email
C000096,2024-02-11,37,Female,United Kingdom,Birmingham,3,Instagram
C000097,2025-03-15,55,Female,United States,San Francisco,3,Instagram
C000098,2023-04-09,52,Male,United Kingdom,Manchester,3,Instagram
C000099,2024-11-14,51,Male,United Kingdom,Birmingham,10,Organic
C000100,2024-12-26,63,Female,United States,San Francisco,2,Google Ads
C000101,2025-08-18,64,Female,United States,Los Angeles,10,Organic
C000102,2024-09-04,53,Male,India,Bengaluru,6,YouTube
C000103,2024-10-04,33,Female,United States,Los Angeles,5,Facebook
C000104,2025-10-25,40,Male,Germany,Berlin,9,Influencer
C000105,2024-05-17,61,Male,Germany,Hamburg,1,Google Ads
C000106,2025-02-05,18,Female,United States,Chicago,4,Instagram
C000107,2024-02-02,26,Male,Japan,Kyoto,9,Influencer
C000108,2025-05-20,29,Female,Japan,Kyoto,6,YouTube
C000109,2025-03-05,54,Female,United States,San Francisco,4,Instagram
C000110,2024-01-28,34,Female,United States,San Francisco,4,Instagram
C000111,2023-07-26,20,Male,Japan,Osaka,8,Referral
C000112,2025-11-04,55,Female,United States,Los Angeles,9,Influencer
C000113,2025-06-10,46,Female,United States,Los Angeles,3,Instagram
C000114,2025-05-13,48,Female,United Kingdom,Birmingham,1,Google Ads
C000115,2025-01-12,52,Female,United States,San Francisco,4,Instagram
C000116,2024-07-17,55,Female,United Kingdom,London,4,Instagram
C000117,2025-10-17,43,Female,Japan,Tokyo,5,Facebook
C000118,2023-04-06,30,Female,France,Paris,3,Instagram
C000119,2024-04-29,36,Female,United States,Los Angeles,4,Instagram
C000120,2023-08-19,49,Female,Japan,Kyoto,7,Email
C000121,2025-01-18,64,Female,Australia,Sydney,4,Instagram
C000122,2024-06-24,44,Female,Japan,Kyoto,10,Organic
C000123,2025-11-25,56,Female,United States,San Francisco,8,Referral
C000124,2024-06-08,30,Female,United States,New York,5,Facebook
C000125,2024-07-31,51,Female,United Kingdom,Manchester,9,Influencer
C000126,2024-11-12,36,Male,Japan,Osaka,8,Referral
C000127,2024-07-10,36,Male,United Kingdom,Birmingham,10,Organic
C000128,2025-10-09,20,Female,India,Ahmedabad,10,Organic
C000129,2024-10-07,20,Male,India,Bengaluru,10,Organic
C000130,2025-03-06,43,Female,France,Marseille,1,Google Ads
C000131,2025-11-17,23,Male,France,Paris,9,Influencer
C000132,2023-07-09,30,Female,Japan,Kyoto,6,YouTube
C000133,2024-09-24,63,Female,India,Mumbai,4,Instagram
C000134,2024-09-19,55,Male,India,Bengaluru,10,Organic
C000135,2025-08-30,44,Male,United States,Chicago,8,Referral
C000136,2024-12-10,58,Female,Canada,Toronto,10,Organic
C000137,2024-10-10,41,Female,Canada,Vancouver,3,Instagram
C000138,2023-11-14,27,Male,United Kingdom,Manchester,1,Google Ads
C000139,2024-11-14,33,Male,United States,Los Angeles,9,Influencer
C000140,2024-10-25,40,Female,India,Ahmedabad,6,YouTube
C000141,2024-03-17,64,Other,United States,New York,10,Organic
C000142,2024-07-17,29,Male,Japan,Kyoto,3,Instagram
C000143,2025-08-09,45,Male,United States,Chicago,8,Referral
C000144,2024-11-29,30,Female,United States,Los Angeles,3,Instagram
C000145,2023-04-23,35,Female,United Kingdom,Birmingham,9,Influencer
C000146,2023-01-02,19,Female,Japan,Tokyo,6,YouTube
C000147,2024-10-03,63,Male,United States,Chicago,7,Email
C000148,2023-08-08,34,Male,France,Marseille,7,Email
C000149,2025-05-04,40,Female,United States,Los Angeles,4,Instagram
C000150,2024-01-20,40,Male,United States,Los Angeles,8,Referral
C000151,2025-12-12,18,Male,United States,Chicago,8,Referral
C000152,2024-12-30,60,Female,United States,Los Angeles,8,Referral
C000153,2023-09-04,31,Male,Australia,Brisbane,1,Google Ads
C000154,2025-04-15,29,Female,United Kingdom,Birmingham,1,Google Ads
C000155,2023-07-22,31,Female,Germany,Berlin,7,Email
C000156,2023-05-03,61,Male,Canada,Montreal,7,Email
C000157,2024-02-05,55,Female,United Kingdom,Manchester,7,Email
C000158,2025-02-05,58,Female,United Kingdom,Manchester,1,Google Ads
C000159,2023-10-21,61,Male,United Kingdom,London,7,Email
C000160,2023-10-07,33,Female,Canada,Toronto,10,Organic
C000161,2025-06-02,51,Male,Canada,Vancouver,3,Instagram
C000162,2023-07-17,35,Male,Germany,Munich,1,Google Ads
C000163,2025-09-08,65,Male,United Kingdom,London,1,Google Ads
C000164,2025-01-21,27,Female,United States,New York,8,Referral
C000165,2023-05-24,36,Female,United States,Los Angeles,1,Google Ads
C000166,2024-08-31,47,Male,India,Mumbai,10,Organic
C000167,2023-07-06,21,Female,Japan,Tokyo,5,Facebook
C000168,2024-04-08,24,Male,India,Ahmedabad,1,Google Ads
C000169,2024-10-21,33,Male,United States,New York,7,Email
C000170,2025-02-02,54,Male,India,Delhi,10,Organic
C000171,2025-08-12,22,Male,India,Delhi,1,Google Ads
C000172,2024-02-07,56,Other,India,Ahmedabad,3,Instagram
C000173,2023-05-27,50,Female,United States,Los Angeles,10,Organic
C000174,2025-05-13,52,Female,India,Bengaluru,8,Referral
C000175,2024-05-03,65,Male,United States,San Francisco,3,Instagram
C000176,2025-07-17,51,Male,Australia,Sydney,7,Email
C000177,2024-07-04,50,Other,United States,Los Angeles,6,YouTube
C000178,2023-12-04,56,Male,Japan,Kyoto,5,Facebook
C000179,2025-05-21,27,Male,Canada,Vancouver,5,Facebook
C000180,2024-10-02,20,Male,United States,San Francisco,4,Instagram
C000181,2024-04-17,46,Male,Japan,Kyoto,9,Influencer
C000182,2023-05-31,52,Female,India,Bengaluru,10,Organic
C000183,2023-09-20,48,Male,India,Ahmedabad,5,Facebook
C000184,2023-05-24,56,Female,Canada,Montreal,7,Email
C000185,2023-12-12,32,Male,United Kingdom,Manchester,8,Referral
C000186,2024-09-15,18,Male,United Kingdom,London,6,YouTube
C000187,2025-10-13,36,Female,United States,Los Angeles,7,Email
C000188,2025-05-30,54,Female,Canada,Toronto,4,Instagram
C000189,2023-01-02,44,Female,Japan,Tokyo,6,YouTube
C000190,2025-06-15,38,Male,United States,Chicago,7,Email
C000191,2023-09-11,24,Male,United Kingdom,London,2,Google Ads
C000192,2024-03-28,60,Female,France,Marseille,1,Google Ads
C000193,2025-11-26,50,Female,Australia,Brisbane,1,Google Ads
C000194,2025-10-11,19,Male,Japan,Tokyo,8,Referral
C000195,2023-01-09,31,Male,Germany,Hamburg,5,Facebook
C000196,2025-03-26,59,Male,United States,Los Angeles,5,Facebook
C000197,2023-07-27,20,Female,United States,New York,7,Email
C000198,2024-02-08,31,Female,Japan,Tokyo,5,Facebook
C000199,2023-06-01,22,Female,Japan,Kyoto,7,Email
C000200,2023-02-23,34,Female,India,Mumbai,4,Instagram
C000201,2024-09-19,56,Female,United Kingdom,London,8,Referral
C000202,2024-08-09,18,Female,India,Mumbai,4,Instagram
C000203,2023-04-14,60,Male,France,Paris,5,Facebook
C000204,2023-09-11,45,Male,United Kingdom,Manchester,8,Referral
C000205,2024-05-24,55,Female,India,Mumbai,7,Email
C000206,2023-04-09,65,Male,United States,Los Angeles,5,Facebook
C000207,2023-06-02,31,Female,India,Bengaluru,5,Facebook
C000208,2025-07-02,34,Male,United States,San Francisco,6,YouTube
C000209,2025-05-27,32,Male,United States,Los Angeles,4,Instagram
C000210,2023-12-04,63,Male,India,Delhi,5,Facebook
C000211,2025-04-01,24,Male,India,Ahmedabad,7,Email
C000212,2025-08-14,59,Male,United States,Los Angeles,7,Email
C000213,2023-06-10,24,Male,United States,San Francisco,1,Google Ads
C000214,2025-03-11,64,Male,India,Ahmedabad,4,Instagram
C000215,2024-02-02,41,Male,India,Delhi,3,Instagram
C000216,2025-03-26,43,Female,Germany,Berlin,4,Instagram
C000217,2024-02-05,31,Male,United States,New York,7,Email
C000218,2024-10-01,64,Male,Australia,Brisbane,7,Email
C000219,2025-11-22,36,Female,United States,San Francisco,7,Email
C000220,2024-11-18,43,Female,United States,Chicago,9,Influencer
C000221,2024-04-04,33,Male,United Kingdom,Manchester,10,Organic
C000222,2025-08-12,51,Male,Germany,Munich,10,Organic
C000223,2024-04-14,19,Female,United States,San Francisco,10,Organic
C000224,2025-11-11,18,Male,United States,New York,7,Email
C000225,2025-01-19,65,Female,India,Mumbai,5,Facebook
C000226,2023-02-07,53,Male,Canada,Toronto,2,Google Ads
C000227,2023-08-18,52,Female,United Kingdom,Manchester,7,Email
C000228,2024-07-16,60,Female,India,Bengaluru,9,Influencer
C000229,2024-03-13,41,Male,United States,New York,7,Email
C000230,2023-01-27,22,Male,Canada,Toronto,8,Referral
C000231,2023-08-14,46,Male,India,Delhi,9,Influencer
C000232,2025-03-08,58,Female,United States,Los Angeles,5,Facebook
C000233,2023-10-11,18,Female,India,Ahmedabad,5,Facebook
C000234,2025-05-28,26,Male,Australia,Sydney,10,Organic
C000235,2025-08-17,53,Male,United Kingdom,Manchester,9,Influencer
C000236,2024-03-28,33,Female,United Kingdom,London,3,Instagram
C000237,2025-10-16,32,Male,United States,Chicago,2,Google Ads
C000238,2025-03-26,27,Male,United States,San Francisco,3,Instagram
C000239,2024-10-20,54,Female,United States,Los Angeles,4,Instagram
C000240,2024-06-30,33,Female,United Kingdom,London,1,Google Ads
C000241,2025-12-08,55,Female,United Kingdom,Manchester,5,Facebook
C000242,2023-01-17,65,Male,Germany,Hamburg,5,Facebook
C000243,2023-06-07,53,Male,Canada,Toronto,6,YouTube
C000244,2024-04-21,32,Female,Japan,Tokyo,2,Google Ads
C000245,2025-12-05,20,Male,Canada,Montreal,6,YouTube
C000246,2024-06-01,36,Male,India,Mumbai,10,Organic
C000247,2023-04-09,58,Female,India,Mumbai,7,Email
C000248,2025-11-26,54,Female,Australia,Sydney,5,Facebook
C000249,2023-10-07,65,Female,India,Delhi,2,Google Ads
C000250,2024-05-11,20,Male,United States,San Francisco,5,Facebook
C000251,2023-10-29,25,Female,India,Ahmedabad,6,YouTube
C000252,2023-06-30,41,Female,United States,San Francisco,5,Facebook
C000253,2024-08-29,31,Male,Canada,Toronto,8,Referral
C000254,2024-11-30,52,Male,United Kingdom,Manchester,10,Organic
C000255,2025-09-19,33,Female,United Kingdom,London,7,Email
C000256,2023-07-10,24,Male,United States,Los Angeles,9,Influencer
C000257,2023-09-10,58,Male,France,Lyon,1,Google Ads
C000258,2025-09-07,52,Male,Japan,Tokyo,10,Organic
C000259,2025-07-16,25,Female,India,Ahmedabad,3,Instagram
C000260,2023-05-08,29,Female,United States,Chicago,4,Instagram
C000261,2023-01-18,63,Male,United States,San Francisco,7,Email
C000262,2024-07-19,33,Male,United States,Chicago,1,Google Ads
C000263,2024-07-23,21,Female,Canada,Vancouver,2,Google Ads
C000264,2024-11-16,52,Other,Germany,Hamburg,8,Referral
C000265,2024-09-17,62,Male,United States,San Francisco,7,Email
C000266,2025-05-03,58,Female,United Kingdom,London,10,Organic
C000267,2025-08-19,62,Female,Japan,Tokyo,7,Email
C000268,2023-06-04,49,Female,India,Bengaluru,5,Facebook
C000269,2024-05-04,29,Male,Japan,Tokyo,9,Influencer
C000270,2025-02-23,38,Male,United States,New York,10,Organic
C000271,2023-09-03,32,Female,India,Mumbai,6,YouTube
C000272,2025-11-28,52,Male,United States,Chicago,1,Google Ads
C000273,2025-01-28,20,Female,United States,New York,9,Influencer
C000274,2024-06-21,19,Female,United States,New York,5,Facebook
C000275,2025-07-09,23,Female,United States,San Francisco,3,Instagram
C000276,2024-02-12,33,Male,United States,Los Angeles,5,Facebook
C000277,2024-06-08,40,Male,United States,New York,1,Google Ads
C000278,2025-04-07,48,Male,Japan,Kyoto,10,Organic
C000279,2025-06-21,58,Female,United States,New York,2,Google Ads
C000280,2023-02-05,47,Female,Japan,Tokyo,9,Influencer
C000281,2024-11-15,20,Male,Canada,Toronto,9,Influencer
C000282,2023-01-20,33,Female,India,Mumbai,6,YouTube
C000283,2023-11-17,21,Male,United States,Los Angeles,3,Instagram
C000284,2024-05-26,63,Male,United States,San Francisco,4,Instagram
C000285,2024-02-04,53,Male,United States,New York,10,Organic
C000286,2024-10-15,45,Female,India,Delhi,4,Instagram
C000287,2025-08-29,45,Female,India,Mumbai,2,Google Ads
C000288,2024-04-15,20,Male,India,Mumbai,2,Google Ads
C000289,2025-04-13,43,Male,United Kingdom,Manchester,10,Organic
C000290,2024-12-27,56,Male,United States,Chicago,3,Instagram
C000291,2025-05-03,30,Female,Germany,Munich,6,YouTube
C000292,2023-02-20,24,Male,India,Delhi,10,Organic
C000293,2024-07-28,30,Female,Canada,Montreal,9,Influencer
C000294,2023-05-30,21,Male,United States,Chicago,10,Organic
C000295,2023-11-10,33,Female,India,Delhi,4,Instagram
C000296,2024-07-23,45,Male,United States,Chicago,1,Google Ads
C000297,2023-11-01,64,Female,India,Ahmedabad,7,Email
C000298,2024-11-12,30,Female,United Kingdom,London,7,Email
C000299,2025-04-17,59,Female,United States,Chicago,2,Google Ads
C000300,2025-12-13,27,Female,Germany,Munich,8,Referral
C000301,2025-09-29,22,Female,United Kingdom,Manchester,3,Instagram
C000302,2024-03-19,53,Male,United States,New York,10,Organic
C000303,2024-09-04,36,Male,United Kingdom,London,3,Instagram
C000304,2025-09-19,47,Male,United States,San Francisco,3,Instagram
C000305,2023-09-21,64,Male,Japan,Kyoto,8,Referral
C000306,2025-12-12,58,Female,India,Mumbai,6,YouTube
C000307,2025-09-30,65,Male,United States,New York,6,YouTube
C000308,2023-01-05,45,Other,United Kingdom,Birmingham,4,Instagram
C000309,2025-02-12,48,Female,Canada,Toronto,1,Google Ads
C000310,2025-05-26,53,Female,India,Bengaluru,10,Organic
C000311,2025-09-18,60,Male,India,Delhi,10,Organic
C000312,2025-06-02,18,Male,United Kingdom,Manchester,2,Google Ads
C000313,2023-02-16,26,Male,India,Mumbai,8,Referral
C000314,2025-05-16,29,Female,United States,Los Angeles,3,Instagram
C000315,2025-04-02,40,Other,United States,Chicago,1,Google Ads
C000316,2025-07-24,29,Male,United States,Chicago,7,Email
C000317,2024-10-17,59,Female,France,Paris,8,Referral
C000318,2023-09-26,26,Male,Canada,Vancouver,9,Influencer
C000319,2024-01-05,43,Other,Japan,Kyoto,6,YouTube
C000320,2024-09-27,47,Female,United Kingdom,Birmingham,2,Google Ads
C000321,2024-10-18,37,Male,Germany,Munich,5,Facebook
C000322,2023-04-30,33,Female,United States,New York,3,Instagram
C000323,2025-04-10,30,Female,France,Marseille,7,Email
C000324,2025-12-17,52,Female,Japan,Kyoto,7,Email
C000325,2025-01-10,21,Male,Japan,Osaka,7,Email
C000326,2023-04-27,42,Female,Canada,Montreal,5,Facebook
C000327,2025-03-01,30,Male,Australia,Sydney,9,Influencer
C000328,2025-10-09,45,Female,United States,Los Angeles,2,Google Ads
C000329,2025-12-17,62,Male,United States,Chicago,5,Facebook
C000330,2024-09-25,29,Female,Canada,Toronto,8,Referral
C000331,2024-05-27,41,Female,Australia,Sydney,1,Google Ads
C000332,2025-03-12,45,Male,Canada,Montreal,4,Instagram
C000333,2024-07-13,18,Female,United States,Los Angeles,3,Instagram
C000334,2024-05-02,51,Male,United Kingdom,Manchester,6,YouTube
C000335,2025-06-15,20,Male,United States,Chicago,3,Instagram
C000336,2024-12-04,39,Male,Germany,Hamburg,10,Organic
C000337,2024-08-03,38,Female,United Kingdom,London,1,Google Ads
C000338,2025-02-28,44,Male,Canada,Montreal,8,Referral
C000339,2025-05-10,38,Female,United States,Chicago,3,Instagram
C000340,2023-09-04,39,Male,United States,Los Angeles,1,Google Ads
C000341,2023-06-03,30,Female,United States,Chicago,1,Google Ads
C000342,2025-09-23,61,Female,Canada,Montreal,7,Email
C000343,2024-11-27,33,Male,United States,San Francisco,2,Google Ads
C000344,2025-12-28,63,Female,United States,Chicago,3,Instagram
C000345,2025-12-06,41,Male,France,Paris,7,Email
C000346,2025-10-05,63,Female,France,Paris,1,Google Ads
C000347,2023-04-04,34,Male,Australia,Brisbane,4,Instagram
C000348,2025-08-15,22,Male,Australia,Melbourne,4,Instagram
C000349,2025-10-08,55,Female,United States,Chicago,9,Influencer
C000350,2024-03-28,59,Female,United States,New York,6,YouTube
C000351,2025-06-30,44,Female,United States,New York,10,Organic
C000352,2023-08-06,58,Male,United Kingdom,Manchester,6,YouTube
C000353,2024-04-18,49,Male,Germany,Berlin,4,Instagram
C000354,2024-03-07,43,Female,Japan,Kyoto,4,Instagram
C000355,2023-12-07,24,Female,Germany,Munich,2,Google Ads
C000356,2024-07-04,53,Male,United States,Los Angeles,10,Organic
C000357,2023-12-23,24,Male,France,Marseille,3,Instagram
C000358,2023-01-23,60,Female,India,Ahmedabad,10,Organic
C000359,2024-06-05,44,Female,United States,San Francisco,3,Instagram
C000360,2025-03-12,55,Male,Canada,Montreal,5,Facebook
C000361,2025-01-31,65,Female,Germany,Berlin,4,Instagram
C000362,2024-03-17,65,Male,France,Paris,9,Influencer
C000363,2025-02-07,41,Female,Australia,Sydney,9,Influencer
C000364,2025-10-12,41,Male,United Kingdom,Birmingham,8,Referral
C000365,2024-05-30,62,Female,Japan,Tokyo,3,Instagram
C000366,2025-11-05,61,Female,United States,New York,2,Google Ads
C000367,2025-03-02,46,Male,United States,Chicago,10,Organic
C000368,2023-12-02,44,Female,United Kingdom,Birmingham,7,Email
C000369,2023-09-15,51,Male,Australia,Brisbane,1,Google Ads
C000370,2024-05-11,38,Male,United States,Los Angeles,5,Facebook
C000371,2025-06-14,62,Male,United Kingdom,Manchester,7,Email
C000372,2023-06-09,18,Other,United States,Los Angeles,2,Google Ads
C000373,2025-05-01,27,Female,India,Mumbai,2,Google Ads
C000374,2024-11-20,47,Female,Canada,Vancouver,8,Referral
C000375,2024-01-15,45,Female,India,Bengaluru,10,Organic
C000376,2025-08-14,59,Female,United States,New York,1,Google Ads
C000377,2024-11-21,47,Male,Australia,Melbourne,2,Google Ads
C000378,2025-12-02,45,Female,India,Delhi,7,Email
C000379,2023-10-12,46,Male,Australia,Brisbane,4,Instagram
C000380,2024-02-01,48,Other,United Kingdom,London,5,Facebook
C000381,2023-01-12,60,Female,Canada,Montreal,2,Google Ads
C000382,2024-05-13,58,Female,United States,New York,1,Google Ads
C000383,2025-01-23,21,Male,France,Lyon,3,Instagram
C000384,2023-02-04,36,Male,United Kingdom,Birmingham,3,Instagram
C000385,2024-12-27,27,Female,United Kingdom,Manchester,9,Influencer
C000386,2025-04-28,62,Male,India,Delhi,3,Instagram
C000387,2023-03-31,48,Male,United Kingdom,London,5,Facebook
C000388,2025-02-14,51,Male,India,Delhi,7,Email
C000389,2024-08-27,58,Female,United States,Los Angeles,6,YouTube
C000390,2025-08-27,56,Female,Germany,Munich,3,Instagram
C000391,2025-10-18,59,Male,Canada,Toronto,10,Organic
C000392,2024-02-22,61,Male,United States,Los Angeles,4,Instagram
C000393,2023-04-25,48,Female,United States,Chicago,3,Instagram
C000394,2024-09-08,28,Male,Canada,Vancouver,4,Instagram
C000395,2025-04-05,53,Male,United States,Los Angeles,9,Influencer
C000396,2024-02-17,61,Female,Germany,Munich,2,Google Ads
C000397,2024-12-29,61,Female,France,Paris,2,Google Ads
C000398,2025-10-17,49,Female,Australia,Brisbane,10,Organic
C000399,2025-01-30,40,Female,Germany,Berlin,9,Influencer
C000400,2024-11-06,57,Female,United States,San Francisco,4,Instagram
C000401,2024-04-01,63,Male,United States,New York,1,Google Ads
C000402,2025-07-08,56,Male,Germany,Munich,5,Facebook
C000403,2023-07-11,20,Male,United Kingdom,London,8,Referral
C000404,2025-01-08,45,Other,Japan,Tokyo,8,Referral
C000405,2025-09-04,42,Male,Germany,Munich,5,Facebook
C000406,2025-10-05,45,Female,Canada,Vancouver,1,Google Ads
C000407,2023-04-06,36,Female,Canada,Vancouver,6,YouTube
C000408,2024-10-24,63,Female,France,Paris,9,Influencer
C000409,2023-02-06,36,Male,United Kingdom,London,3,Instagram
C000410,2023-10-06,59,Female,United Kingdom,London,5,Facebook
C000411,2023-08-05,61,Male,India,Delhi,4,Instagram
C000412,2025-05-16,46,Male,Australia,Melbourne,4,Instagram
C000413,2025-05-22,36,Male,Canada,Vancouver,3,Instagram
C000414,2023-03-03,35,Female,United Kingdom,Manchester,1,Google Ads
C000415,2024-08-18,62,Female,United Kingdom,London,3,Instagram
C000416,2024-12-29,41,Female,Germany,Munich,5,Facebook
C000417,2024-02-01,55,Female,United Kingdom,Manchester,8,Referral
C000418,2024-11-29,33,Female,Germany,Hamburg,5,Facebook
C000419,2025-11-08,35,Male,India,Ahmedabad,7,Email
C000420,2023-06-26,58,Female,India,Bengaluru,10,Organic
C000421,2024-01-31,30,Male,India,Mumbai,1,Google Ads
C000422,2024-03-20,21,Male,Canada,Toronto,9,Influencer
C000423,2023-03-17,30,Male,India,Bengaluru,2,Google Ads
C000424,2023-09-22,52,Female,United States,Los Angeles,10,Organic
C000425,2024-03-30,21,Female,Canada,Montreal,10,Organic
C000426,2024-12-18,36,Female,France,Lyon,3,Instagram
C000427,2025-01-04,41,Male,Canada,Toronto,2,Google Ads
C000428,2025-04-30,50,Female,Canada,Toronto,4,Instagram
C000429,2023-05-24,50,Female,France,Marseille,10,Organic
C000430,2025-06-03,26,Female,Canada,Vancouver,9,Influencer
C000431,2025-12-28,20,Male,India,Bengaluru,8,Referral
C000432,2024-01-31,20,Male,Japan,Kyoto,2,Google Ads
C000433,2025-11-14,47,Male,Japan,Osaka,1,Google Ads
C000434,2025-08-05,35,Female,India,Ahmedabad,1,Google Ads
C000435,2025-06-09,19,Female,India,Mumbai,2,Google Ads
C000436,2024-07-22,49,Female,United Kingdom,Manchester,7,Email
C000437,2025-11-28,60,Male,Australia,Brisbane,2,Google Ads
C000438,2023-04-19,26,Male,Australia,Sydney,5,Facebook
